"diet","tissue","FA","avg_CC","SD_CC","n_CC"
"Blood worm","liver","C14.0",1.05628079717651,0.220449384134887,37
"Blood worm","liver","C14.1",0.24135619054231,0.0444815143573022,37
"Blood worm","liver","C15.0",0.244735703380697,0.0775350802177813,37
"Blood worm","liver","C15.1",0.40153475623461,0.086838483541285,37
"Blood worm","liver","C16.0",1.01493707563998,0.129418467487993,37
"Blood worm","liver","C16.1n.7",0.654066446740697,0.102575658467768,37
"Blood worm","liver","C17.0",0.293329089996101,0.0889508951915687,37
"Blood worm","liver","C17.1",1.23205099878458,0.279264178725655,37
"Blood worm","liver","C18.0",0.751828754549578,0.123514961356281,37
"Blood worm","liver","C18.1n.7",1.02206586595237,0.168992305504499,37
"Blood worm","liver","C18.1n.9.cis",4.70685336967065,0.686446206881368,37
"Blood worm","liver","C18.1n.9.trans",1.75634030842815,0.408426348015579,37
"Blood worm","liver","C18.2n.4",0.614920571755767,0.387760996979511,37
"Blood worm","liver","C18.2n.6.cis",0.881935484487119,0.203366554075212,37
"Blood worm","liver","C18.2n.6.trans",4.71957506001282,0.965983373396422,37
"Blood worm","liver","C18.3n.3",0.54464254428298,0.153217773767688,37
"Blood worm","liver","C18.3n.6",1.13078156843682,0.30899304292167,37
"Blood worm","liver","C18.4n.3.cis",0.299131939664604,0.157335720504141,37
"Blood worm","liver","C18.4n.3.trans",2.39328026865826,0.458359482410533,37
"Blood worm","liver","C20.0",0.194796314429326,0.0696295996778699,37
"Blood worm","liver","C20.1",NA,NA,37
"Blood worm","liver","C20.1n.9",1.87324275162294,0.381672638384516,37
"Blood worm","liver","C20.2.cis.11",3.21752078660652,0.913688919632812,37
"Blood worm","liver","C20.3n.3",0.388939656856309,0.220259568342021,37
"Blood worm","liver","C20.3n.6",1.46197288255945,0.560508845397746,37
"Blood worm","liver","C20.4n.3",1.95765233917418,1.03046130727159,37
"Blood worm","liver","C20.4n.6",10.1827430921964,3.63130243503458,37
"Blood worm","liver","C20.5n.3",0.180089551623463,0.124075589739261,37
"Blood worm","liver","C21.0",2.18138274009624,3.09267525809234,37
"Blood worm","liver","C22.0",NA,NA,37
"Blood worm","liver","C22.1n.9",NA,NA,37
"Blood worm","liver","C22.5n.3",28.1964265292665,10.9750663888811,37
"Blood worm","liver","C22.6n.3",26.4229050631253,12.2125958795127,37
"Blood worm","liver","C24.0",2.02511459298014,0.915687118223683,37
"Blood worm","liver","C24.1n.9",2.20911440449339,0.654653035536483,37
"Blood worm","muscle","C14.0",0.59397569576815,0.139814354991143,36
"Blood worm","muscle","C14.1",0.200341732475948,0.0504128783743667,36
"Blood worm","muscle","C15.0",0.559920356628349,0.154457636875799,36
"Blood worm","muscle","C15.1",0.393065180244352,0.080735032563503,36
"Blood worm","muscle","C16.0",1.08594330206924,0.118070958629487,36
"Blood worm","muscle","C16.1n.7",0.460808060637633,0.100419876049454,36
"Blood worm","muscle","C17.0",0.577381441607613,0.108412705416275,36
"Blood worm","muscle","C17.1",0.939988264753315,0.226683067431575,36
"Blood worm","muscle","C18.0",0.860639792254494,0.105442262155272,36
"Blood worm","muscle","C18.1n.7",0.794085318819661,0.10924789621627,36
"Blood worm","muscle","C18.1n.9.cis",1.82304476325302,0.360357888227295,36
"Blood worm","muscle","C18.1n.9.trans",1.26385587534434,0.34844367882703,36
"Blood worm","muscle","C18.2n.4",0.344896159322129,0.184718230027721,36
"Blood worm","muscle","C18.2n.6.cis",0.743720469275165,0.262085397415836,36
"Blood worm","muscle","C18.2n.6.trans",2.23124823719941,0.557976271856357,36
"Blood worm","muscle","C18.3n.3",0.663961923474741,0.111429897005256,36
"Blood worm","muscle","C18.3n.6",1.07004728239234,0.256759573097848,36
"Blood worm","muscle","C18.4n.3.cis",0.913185932684816,0.337255473525721,36
"Blood worm","muscle","C18.4n.3.trans",2.41494446340998,0.552695252580746,36
"Blood worm","muscle","C20.0",0.297119566874374,0.0920445702559695,36
"Blood worm","muscle","C20.1",NA,NA,36
"Blood worm","muscle","C20.1n.9",1.15589178084285,0.247733748216386,36
"Blood worm","muscle","C20.2.cis.11",4.25858064029362,0.828014154414136,36
"Blood worm","muscle","C20.3n.3",1.21216257971151,0.362344188710337,36
"Blood worm","muscle","C20.3n.6",2.95594309787862,0.619157073450024,36
"Blood worm","muscle","C20.4n.3",4.05248124868261,0.784662211703517,36
"Blood worm","muscle","C20.4n.6",32.2127746494769,14.7281247025727,36
"Blood worm","muscle","C20.5n.3",0.780739437427808,0.0900544373087344,36
"Blood worm","muscle","C21.0",2.30692774633149,1.34382307209435,36
"Blood worm","muscle","C22.0",NA,NA,36
"Blood worm","muscle","C22.1n.9",NA,NA,36
"Blood worm","muscle","C22.5n.3",64.6447792771216,9.62003714486779,36
"Blood worm","muscle","C22.6n.3",87.94257321139,13.9816728308101,36
"Blood worm","muscle","C24.0",7.1017146920455,1.41559376798341,36
"Blood worm","muscle","C24.1n.9",9.76078739565562,4.96073662883531,36
"Brine shrimp","liver","C14.0",1.0125924746396,0.265835187374342,36
"Brine shrimp","liver","C14.1",0.949130734080586,0.162399989163552,36
"Brine shrimp","liver","C15.0",0.56971643417264,0.113450781976634,36
"Brine shrimp","liver","C15.1",0.934557566825837,0.170290358131565,36
"Brine shrimp","liver","C16.0",0.797073559047859,0.111309439978518,36
"Brine shrimp","liver","C16.1n.7",0.919802920196258,0.149444285510323,36
"Brine shrimp","liver","C17.0",0.73117246165406,0.131159951420472,36
"Brine shrimp","liver","C17.1",1.38186539643684,0.198067298020241,36
"Brine shrimp","liver","C18.0",0.802315467419411,0.159480718107838,36
"Brine shrimp","liver","C18.1n.7",1.13689025884388,0.157351660543942,36
"Brine shrimp","liver","C18.1n.9.cis",1.82441375960606,0.251956876259987,36
"Brine shrimp","liver","C18.1n.9.trans",1.93772179689616,0.416646752744688,36
"Brine shrimp","liver","C18.2n.4",0.735684381878277,0.294036272465045,36
"Brine shrimp","liver","C18.2n.6.cis",0.92172238727453,0.223830653535146,36
"Brine shrimp","liver","C18.2n.6.trans",1.29054424742273,0.301012780600033,36
"Brine shrimp","liver","C18.3n.3",0.758278253518416,0.188677414948046,36
"Brine shrimp","liver","C18.3n.6",1.0552179009952,0.385369638283689,36
"Brine shrimp","liver","C18.4n.3.cis",0.773256316003806,0.397513371972743,36
"Brine shrimp","liver","C18.4n.3.trans",0.720793420554311,0.16814007796312,36
"Brine shrimp","liver","C20.0",1.41913872762323,0.655306544852964,36
"Brine shrimp","liver","C20.1",NA,NA,36
"Brine shrimp","liver","C20.1n.9",1.82831715760668,0.380284171427148,36
"Brine shrimp","liver","C20.2.cis.11",1.18228342911037,0.186255775558935,36
"Brine shrimp","liver","C20.3n.3",0.684308855738559,0.229062107845114,36
"Brine shrimp","liver","C20.3n.6",1.20506170937878,0.326996512481472,36
"Brine shrimp","liver","C20.4n.3",1.72723492979923,0.691855198854334,36
"Brine shrimp","liver","C20.4n.6",1.92928350833955,0.695888871896434,36
"Brine shrimp","liver","C20.5n.3",0.263909902084847,0.115169964312063,36
"Brine shrimp","liver","C21.0",NA,NA,36
"Brine shrimp","liver","C22.0",NA,NA,36
"Brine shrimp","liver","C22.1n.9",2.5097611014816,3.50865425971856,36
"Brine shrimp","liver","C22.5n.3",6.27392421091835,2.30079135282582,36
"Brine shrimp","liver","C22.6n.3",19.9317914820434,10.7370685834475,36
"Brine shrimp","liver","C24.0",1.64995473374193,2.22434545863861,36
"Brine shrimp","liver","C24.1n.9",2.1396104406757,1.02262047141531,36
"Brine shrimp","muscle","C14.0",0.592024176677601,0.124604597735779,36
"Brine shrimp","muscle","C14.1",0.501950649323038,0.100840221610696,36
"Brine shrimp","muscle","C15.0",0.689770899484115,0.186171222958383,36
"Brine shrimp","muscle","C15.1",0.522459100026525,0.102270421429219,36
"Brine shrimp","muscle","C16.0",1.07073191780932,0.132656591633616,36
"Brine shrimp","muscle","C16.1n.7",0.478128503578204,0.0927290362867825,36
"Brine shrimp","muscle","C17.0",0.74652334492367,0.10537883650893,36
"Brine shrimp","muscle","C17.1",0.747169383984095,0.126068039638198,36
"Brine shrimp","muscle","C18.0",0.900141704803632,0.114944200565127,36
"Brine shrimp","muscle","C18.1n.7",0.761244993641012,0.122829427855006,36
"Brine shrimp","muscle","C18.1n.9.cis",0.94352259592589,0.168594896182714,36
"Brine shrimp","muscle","C18.1n.9.trans",1.01093611775648,0.233636413688835,36
"Brine shrimp","muscle","C18.2n.4",0.766005273584312,0.292059396673737,36
"Brine shrimp","muscle","C18.2n.6.cis",3.2562589684277,10.2060124233019,36
"Brine shrimp","muscle","C18.2n.6.trans",0.713644943653113,0.243734255399563,36
"Brine shrimp","muscle","C18.3n.3",0.736741750933442,0.128293711492883,36
"Brine shrimp","muscle","C18.3n.6",0.975157395080625,0.171681282345127,36
"Brine shrimp","muscle","C18.4n.3.cis",1.82484043351284,NA,36
"Brine shrimp","muscle","C18.4n.3.trans",0.778881221313697,0.189966124175359,36
"Brine shrimp","muscle","C20.0",1.1419023544645,0.537092024324959,36
"Brine shrimp","muscle","C20.1",NA,NA,36
"Brine shrimp","muscle","C20.1n.9",1.35053730611349,0.34490628552405,36
"Brine shrimp","muscle","C20.2.cis.11",1.38430854226306,0.28560708681506,36
"Brine shrimp","muscle","C20.3n.3",1.9584038421754,0.346724122775816,36
"Brine shrimp","muscle","C20.3n.6",2.67637273550093,0.426167778659296,36
"Brine shrimp","muscle","C20.4n.3",3.69462483988512,0.767452778780301,36
"Brine shrimp","muscle","C20.4n.6",4.92930139705382,1.91256687917121,36
"Brine shrimp","muscle","C20.5n.3",1.41067729476808,1.06127744228116,36
"Brine shrimp","muscle","C21.0",4.94469821466057,4.39331256574866,36
"Brine shrimp","muscle","C22.0",NA,NA,36
"Brine shrimp","muscle","C22.1n.9",2.11126146274257,0.644269759040399,36
"Brine shrimp","muscle","C22.5n.3",39.2859959760045,7.14706701088078,36
"Brine shrimp","muscle","C22.6n.3",158.539001034591,27.8766604435545,36
"Brine shrimp","muscle","C24.0",7.15399201795848,2.11762339734915,36
"Brine shrimp","muscle","C24.1n.9",13.7250384908919,7.95591170159107,36
